Station ID,Date Time,Latitude,Longitude,Parm Name,Value
1ASAN000.34,12/5/2017,38.91639167,-77.47213611,"CALCIUM, DISSOLVED (MG/L AS CA)",113
1ASAN000.34,12/5/2017,38.91639167,-77.47213611,"HARDNESS, TOTAL (MG/L AS CACO3)",476
1ASAN000.34,12/5/2017,38.91639167,-77.47213611,"MAGNESIUM, DISSOLVED (MG/L AS MG)",47.4
1ASAN000.34,12/5/2017,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",39.3
1ASAN000.34,1/23/2018,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",64.4
1ASAN000.34,3/12/2018,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",37.2
1ASAN000.34,5/22/2018,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",34.2
1ASAN000.34,7/26/2018,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",24.8
1ASAN000.34,9/6/2018,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",34.3
1ASAN000.34,11/8/2018,38.91639167,-77.47213611,"SODIUM, DISSOLVED (MG/L AS NA)",28.9
,,,,,
1ASAN000.34,10/3/2019,38.91639167,-77.47213611,"ALUMINUM, DISSOLVED (UG/L AS AL)",3.43
1ASAN000.34,10/3/2019,38.91639167,-77.47213611,"ANTIMONY, DISSOLVED (UG/L AS SB)",0.08
1ASAN000.34,10/3/2019,38.91639167,-77.47213611,"ARSENIC, DISSOLVED  (UG/L AS AS)",4.43
1ASAN000.34,10/3/2019,38.91639167,-77.47213611,"BARIUM, DISSOLVED (UG/L AS BA)",9.3
1ASAN000.34,10/3/2019,38.91639167,-77.47213611,"BERYLLIUM, DISSOLVED (UG/L AS BE)",0.1
1ASAN000.34,10/3/2019,38.91639167,-77.47213611,"CADMIUM, DISSOLVED (UG/L AS CD)",0.1
