StationID,CollDate,HabParameter,HabValue,TotHabSc
2DBRI007.10,5/1/2012,ALTER,17,118
2DBRI007.10,5/1/2012,BANKS,10,118
2DBRI007.10,5/1/2012,BANKVEG,12,118
2DBRI007.10,5/1/2012,COVER,10,118
2DBRI007.10,5/1/2012,FLOW,17,118
2DBRI007.10,5/1/2012,POOLSUB,8,118
2DBRI007.10,5/1/2012,POOLVAR,13,118
2DBRI007.10,5/1/2012,RIPVEG,9,118
2DBRI007.10,5/1/2012,SEDIMENT,8,118
2DBRI007.10,5/1/2012,SINUOSITY,14,118
2DBRI007.10,11/14/2012,ALTER,19,143
2DBRI007.10,11/14/2012,BANKS,12,143
2DBRI007.10,11/14/2012,BANKVEG,14,143
2DBRI007.10,11/14/2012,COVER,15,143
2DBRI007.10,11/14/2012,FLOW,17,143
2DBRI007.10,11/14/2012,POOLSUB,17,143
2DBRI007.10,11/14/2012,POOLVAR,13,143
2DBRI007.10,11/14/2012,RIPVEG,14,143
2DBRI007.10,11/14/2012,SEDIMENT,11,143
2DBRI007.10,11/14/2012,SINUOSITY,11,143
2DBRI007.10,5/8/2014,BANKS,10,132
2DBRI007.10,5/8/2014,BANKVEG,10,132
2DBRI007.10,5/8/2014,FLOW,17,132
2DBRI007.10,5/8/2014,POOLSUB,10,132
2DBRI007.10,5/8/2014,POOLVAR,12,132
2DBRI007.10,5/8/2014,RIPVEG,18,132
2DBRI007.10,5/8/2014,SEDIMENT,9,132
2DBRI007.10,5/8/2014,SINUOSITY,13,132
2DBRI007.10,5/8/2014,SUBSTRATE,16,132
2DBRI007.10,9/23/2014,ALTER,16,118
2DBRI007.10,9/23/2014,BANKS,8,118
2DBRI007.10,9/23/2014,BANKVEG,8,118
2DBRI007.10,9/23/2014,FLOW,10,118
2DBRI007.10,9/23/2014,POOLSUB,11,118
2DBRI007.10,9/23/2014,POOLVAR,16,118
2DBRI007.10,9/23/2014,RIPVEG,16,118
2DBRI007.10,9/23/2014,SEDIMENT,9,118
2DBRI007.10,9/23/2014,SINUOSITY,13,118
2DBRI007.10,9/23/2014,SUBSTRATE,11,118
2DBRI007.10,5/5/2015,ALTER,18,110
2DBRI007.10,5/5/2015,BANKS,6,110
2DBRI007.10,5/5/2015,BANKVEG,10,110
2DBRI007.10,5/5/2015,FLOW,16,110
2DBRI007.10,5/5/2015,POOLSUB,6,110
2DBRI007.10,5/5/2015,POOLVAR,15,110
2DBRI007.10,5/5/2015,RIPVEG,12,110
2DBRI007.10,5/5/2015,SEDIMENT,6,110
2DBRI007.10,5/5/2015,SINUOSITY,14,110
2DBRI007.10,5/5/2015,SUBSTRATE,7,110
2DBRI007.10,11/18/2015,ALTER,13,108
2DBRI007.10,11/18/2015,BANKS,8,108
2DBRI007.10,11/18/2015,BANKVEG,12,108
2DBRI007.10,11/18/2015,FLOW,19,108
2DBRI007.10,11/18/2015,POOLSUB,7,108
2DBRI007.10,11/18/2015,POOLVAR,12,108
2DBRI007.10,11/18/2015,RIPVEG,12,108
2DBRI007.10,11/18/2015,SEDIMENT,8,108
2DBRI007.10,11/18/2015,SINUOSITY,6,108
2DBRI007.10,11/18/2015,SUBSTRATE,11,108
