"StationID","CollectionDateTime","Longitude","Latitude","pH (unitless)","DO (mg/L)","TN (mg/L)","TP (mg/L)","Total Habitat (unitless)","LRBS (unitless)","MetalsCCU (unitless)","SpCond (uS/cm)","TDS (mg/L)","DSulfate (mg/L)","DChloride (mg/L)","DPotassium (mg/L)","DSodium (mg/L)","Temperature (C)"
"4ADEE000.06","2012-05-21","-79.9512","37.3316","","","","","120","","","","","","","","",""
"4ADEE000.06","2012-09-25","-79.9512","37.3316","","","","","128","","","","","","","","",""
"4ADEE000.06","2015-02-04","-79.9512","37.3316","7.91","12.95","0.76","0.01","","","","535","","","","","","3.43"
"4ADEE000.06","2015-04-06","-79.9512","37.3316","11.91","8.19","0.93","0.01","","","","523","","","","","","11.87"
"4ADEE000.06","2015-05-12","-79.9512","37.3316","8.09","9.07","","","113","","","520","","","","","","20.09"
"4ADEE000.06","2015-06-16","-79.9512","37.3316","8.14","8.17","0.89","0.03","","","","553","","","","","","21.58"
"4ADEE000.06","2015-08-04","-79.9512","37.3316","7.97","7.55","0.98","0.02","","","","536","","","","","","21.61"
"4ADEE000.06","2015-10-07","-79.9512","37.3316","8","9.63","1.14","0.02","","","","475","","","","","","17.62"
"4ADEE000.06","2015-11-16","-79.9512","37.3316","8.06","11.03","","","99","","","548","","","","","","11.76"
"4ADEE000.06","2015-12-03","-79.9512","37.3316","7.64","10.73","0.77","0.01","","","","316","","","","","","10.18"
"4ADEE000.06","2016-01-07","-79.9512","37.3316","","","1.08","0.02","","","","","","","","","",""
"4ADEE000.06","2016-03-29","-79.9512","37.3316","7.9","11.52","0.85","0.01","","","","515","","","","","","15.34"
"4ADEE000.06","2016-04-18","-79.9512","37.3316","7.97","10.65","0.82","0.02","126","","0.1872","474","315","31.7","19.4","1.305","9.63","18.87"
"4ADEE000.06","2016-05-04","-79.9512","37.3316","8.14","9.6","0.47","0.02","","","","341","","","","","","17.22"
"4ADEE000.06","2016-07-19","-79.9512","37.3316","8.08","8.52","0.86","0.02","","","","517","","","","","","23.69"
"4ADEE000.06","2016-08-22","-79.9512","37.3316","7.93","8.62","0.81","0.02","110","0.475868847941924","","537","","","","","","20.7"
"4ADEE000.06","2016-09-20","-79.9512","37.3316","8.05","7.91","0.87","0.03","","","","458","","","","","","20.23"
"4ADEE000.06","2016-10-03","-79.9512","37.3316","","","","","122","-0.100854003775911","","","","","","","",""
"4ADEE000.06","2016-11-17","-79.9512","37.3316","8.12","11.49","1.05","0.01","","","","539","","","","","","9.68"
