"StationID","CollectionDateTime","Longitude","Latitude","pH (unitless)","DO (mg/L)","TN (mg/L)","TP (mg/L)","Total Habitat (unitless)","LRBS (unitless)","MetalsCCU (unitless)","SpCond (uS/cm)","TDS (mg/L)","DSulfate (mg/L)","DChloride (mg/L)","DPotassium (mg/L)","DSodium (mg/L)","Temperature (C)"
"7-PAR003.09","2009-05-21","-75.63083333","37.73194444","","","","","139","","","","","","","","",""
"7-PAR003.09","2009-10-28","-75.63083333","37.73194444","","","","","122","","","","","","","","",""
"7-PAR003.09","2010-04-20","-75.63083333","37.73194444","","","","","153","","","","","","","","",""
"7-PAR003.09","2010-10-28","-75.63083333","37.73194444","","","","","135","","","","","","","","",""
"7-PAR003.09","2011-05-24","-75.63083333","37.73194444","","","","","135","","","","","","","","",""
"7-PAR003.09","2011-11-02","-75.63083333","37.73194444","","","","","137","","","","","","","","",""
"7-PAR003.09","2012-05-03","-75.63083333","37.73194444","","","","","143","","","","","","","","",""
"7-PAR003.09","2012-10-25","-75.63083333","37.73194444","","","","","143","","","","","","","","",""
"7-PAR003.09","2013-05-02","-75.63083333","37.73194444","","","","","143","","","","","","","","",""
"7-PAR003.09","2013-11-05","-75.63083333","37.73194444","","","","","143","","","","","","","","",""
"7-PAR003.09","2014-10-30","-75.63083333","37.73194444","","","","","144","","","","","","","","",""
"7-PAR003.09","2015-01-29","-75.63083333","37.73194444","7.8","10.26","","0.39","","","","1157","","","","","","6.85"
"7-PAR003.09","2015-03-17","-75.63083333","37.73194444","7.61","7.97","","0.46","","","","1293","","","","","","10.6"
"7-PAR003.09","2015-04-23","-75.63083333","37.73194444","","","","","144","","","","","","","","",""
"7-PAR003.09","2015-05-12","-75.63083333","37.73194444","8.27","6.61","","1.28","","","","1561","","","","","","22.49"
"7-PAR003.09","2015-07-14","-75.63083333","37.73194444","8.12","5.91","","1.27","","","","1605","","","","","","25.55"
"7-PAR003.09","2015-09-10","-75.63083333","37.73194444","7.82","5.43","","0.2","","","","2264","","","","","","25.57"
"7-PAR003.09","2015-11-09","-75.63083333","37.73194444","7.88","7.57","","0.12","","","","1645","","","","","","14.52"
"7-PAR003.09","2015-11-24","-75.63083333","37.73194444","","","","","144","","","","","","","","",""
"7-PAR003.09","2016-01-19","-75.63083333","37.73194444","7.77","11.3","","0.12","","","","1303","","","","","","4.25"
"7-PAR003.09","2016-03-08","-75.63083333","37.73194444","7.14","9.39","","0.08","","","","648","","","","","","9.89"
"7-PAR003.09","2016-05-19","-75.63083333","37.73194444","7.94","7.98","","0.09","","","","1421","","","","","","17.28"
"7-PAR003.09","2016-06-01","-75.63083333","37.73194444","","","","","144","","","","","","","","",""
"7-PAR003.09","2016-07-26","-75.63083333","37.73194444","7.78","6.5","","0.12","","","","1331","","","","","","26.14"
"7-PAR003.09","2016-09-27","-75.63083333","37.73194444","7.66","6.69","","0.09","","","","1277","","","","","","22.39"
"7-PAR003.09","2016-10-20","-75.63083333","37.73194444","","","","","144","","","","","","","","",""
"7-PAR003.09","2016-11-15","-75.63083333","37.73194444","7.26","7.37","","0.2","","","","1481","","","","","","13.14"
"7-PAR003.09","2017-06-07","-75.63083333","37.73194444","","","","","144","","","","","","","","",""
